"plot","seeds","focal","focalID","ARCA","CAHI","GITE","GOBE","HYGL","PEAI","PLDE","POCA","POLE","PTGA","STPA","VECY","VERO","WAAC","ACUL","BRIB","CAER","CHEI","EROD","GONO","GOPU","HAOD","HYPO","MEDI","MOMO","PEDU","POMU","SCHOENUS","SINO","TRCY","others"
5,25,"ARCA","P5.ARCA11",10,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,59,"ARCA","P5.ARCA12",8,0,0,0,0,0,8,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,"ARCA","P5.ARCA14",1,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,"ARCA","P5.ARCA15",7,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,41,"ARCA","P5.ARCA16",4,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,77,"ARCA","P5.ARCA6",3,0,0,0,0,0,6,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,4,"ARCA","P6.ARCA100",12,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,14,"ARCA","P6.ARCA19",16,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,37,"ARCA","P6.ARCA4",6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0
6,39,"ARCA","P6.ARCA53",7,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,41,"ARCA","P6.ARCA54",8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6,0,"ARCA","P6.ARCA57",8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1
6,0,"ARCA","P6.ARCA58",10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,21,"ARCA","P6.ARCA59",11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,58,"ARCA","P6.ARCA6",5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,"ARCA","P6.ARCA60",10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,"ARCA","P6.ARCA61",14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,22,"ARCA","P6.ARCA62",7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,46,"ARCA","P6.ARCA9",8,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,23,"ARCA","P12.ARCA1",3,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,92,"ARCA","P12.ARCA10",1,0,0,0,0,2,0,0,0,0,0,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,19,"ARCA","P12.ARCA14",7,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,7,"ARCA","P12.ARCA18",10,0,1,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,86,"ARCA","P12.ARCA2",3,0,3,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,19,"ARCA","P12.ARCA25",11,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,"ARCA","P12.ARCA26",12,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5,"ARCA","P12.ARCA28",8,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,52,"ARCA","P12.ARCA29",2,0,2,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,40,"ARCA","P12.ARCA3",4,0,2,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,24,"ARCA","P12.ARCA30",3,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,9,"ARCA","P12.ARCA31",7,0,2,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,43,"ARCA","P12.ARCA32",4,0,2,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,19,"ARCA","P12.ARCA33",4,0,1,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,"ARCA","P12.ARCA34",5,0,4,0,0,4,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
